,yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
101386,2016,NYA,AL,betande01,73,0.0,7,73.0,73,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101389,2016,BOS,AL,bettsmo01,158,157.0,158,157.0,0,0,0,0,0,0,0,0,157,157,0.0,1.0,0.0
101396,2016,LAN,NL,blantjo01,75,0.0,71,75.0,75,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101399,2016,NYA,AL,bleieri01,23,0.0,4,23.0,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101401,2016,BOS,AL,bogaexa01,157,157.0,157,157.0,0,0,0,0,0,157,0,0,0,0,0.0,0.0,0.0
101402,2016,LAN,NL,bolsimi01,6,6.0,5,6.0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101418,2016,BOS,AL,bradlja02,156,155.0,156,156.0,0,0,0,0,0,0,0,156,0,156,0.0,0.0,1.0
101423,2016,HOU,AL,bregmal01,49,48.0,49,45.0,0,0,0,3,40,6,1,0,0,1,3.0,1.0,0.0
101424,2016,BOS,AL,brentbr01,25,18.0,25,22.0,0,0,0,0,0,0,22,0,0,22,2.0,5.0,2.0
101439,2016,BOS,AL,buchhcl01,37,21.0,4,37.0,37,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101453,2016,NYA,AL,butlebi03,12,8.0,12,3.0,0,0,3,0,0,0,0,0,0,0,6.0,4.0,0.0
101488,2016,BOS,AL,castiru01,9,2.0,9,4.0,0,0,0,0,0,0,2,1,1,4,4.0,1.0,5.0
101491,2016,HOU,AL,castrja01,113,102.0,113,113.0,0,111,3,0,0,0,0,0,0,0,0.0,2.0,0.0
101493,2016,NYA,AL,castrst01,151,146.0,151,150.0,0,0,0,150,0,3,0,0,0,0,0.0,3.0,1.0
101503,2016,NYA,AL,cessalu01,17,9.0,0,17.0,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101509,2016,NYA,AL,chapmar01,31,0.0,4,31.0,31,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101510,2016,HOU,AL,chapmke02,9,0.0,0,9.0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101513,2016,LAN,NL,chaveje01,23,0.0,22,23.0,23,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101528,2016,NYA,AL,clippty01,29,0.0,1,29.0,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101533,2016,NYA,AL,cokeph01,3,0.0,1,3.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101538,2016,LAN,NL,colemlo01,61,0.0,57,61.0,61,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101552,2016,HOU,AL,correca01,153,152.0,153,153.0,0,0,0,0,0,153,0,0,0,0,0.0,1.0,0.0
101563,2016,LAN,NL,crawfca02,30,21.0,30,21.0,0,0,0,0,0,0,21,0,0,21,4.0,8.0,0.0
101571,2016,BOS,AL,cuevawi01,3,0.0,0,3.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101572,2016,LAN,NL,culbech01,34,19.0,34,26.0,0,0,0,10,4,11,2,0,0,2,0.0,11.0,1.0
101586,2016,NYA,AL,davisik02,8,4.0,8,8.0,0,0,8,0,0,0,0,0,0,0,0.0,1.0,1.0
101590,2016,LAN,NL,daytogr01,25,0.0,23,25.0,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101600,2016,LAN,NL,deleojo03,4,4.0,3,4.0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101613,2016,HOU,AL,devench02,48,5.0,6,48.0,48,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101642,2016,HOU,AL,duffyma02,3,0.0,3,1.0,0,0,0,0,1,0,0,0,0,0,0.0,2.0,0.0
101659,2016,BOS,AL,eliasro01,3,1.0,1,3.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101661,2016,LAN,NL,ellisaj01,53,42.0,53,46.0,0,46,0,0,0,0,0,0,0,0,0.0,9.0,0.0
101663,2016,NYA,AL,ellsbja01,148,138.0,148,148.0,0,0,0,0,0,0,0,148,0,148,0.0,4.0,2.0
101666,2016,NYA,AL,eovalna01,24,21.0,3,24.0,24,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101676,2016,LAN,NL,ethiean01,16,3.0,16,4.0,0,0,0,0,0,0,4,0,0,4,1.0,12.0,0.0
101684,2016,HOU,AL,feldmsc01,26,5.0,2,26.0,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101686,2016,HOU,AL,felizmi01,47,0.0,2,47.0,47,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101689,2016,HOU,AL,fieldjo03,15,0.0,2,15.0,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101690,2016,LAN,NL,fieldjo03,22,0.0,21,22.0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101692,2016,LAN,NL,fienca01,25,0.0,25,25.0,25,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101694,2016,HOU,AL,fiersmi01,31,30.0,0,31.0,31,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101697,2016,HOU,AL,fistedo01,32,32.0,3,32.0,32,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101722,2016,LAN,NL,friasca01,1,0.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101733,2016,NYA,AL,gamelbe01,6,2.0,6,5.0,0,0,0,0,0,0,0,0,5,5,0.0,1.0,0.0
101743,2016,LAN,NL,garciyi01,9,0.0,9,9.0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101744,2016,NYA,AL,gardnbr01,148,139.0,148,147.0,0,0,0,0,0,0,147,3,0,147,0.0,5.0,1.0
101749,2016,HOU,AL,gattiev01,128,117.0,128,55.0,0,55,0,0,0,0,0,0,0,0,71.0,11.0,0.0
101759,2016,HOU,AL,gileske01,69,0.0,7,69.0,69,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101776,2016,HOU,AL,gomezca01,85,81.0,85,78.0,0,0,0,0,0,0,0,78,0,78,5.0,1.0,3.0
101779,2016,LAN,NL,gonzaad01,156,148.0,156,151.0,0,0,151,0,0,0,0,0,0,0,2.0,6.0,0.0
101784,2016,HOU,AL,gonzama01,141,118.0,141,132.0,0,0,92,14,22,11,18,1,0,19,3.0,13.0,3.0
101788,2016,NYA,AL,goodyni01,27,0.0,3,27.0,27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101797,2016,HOU,AL,gourryu01,36,32.0,36,27.0,0,0,5,0,21,0,1,0,0,1,7.0,3.0,0.0
101801,2016,LAN,NL,grandya01,126,108.0,126,117.0,0,115,4,0,0,0,0,0,0,0,0.0,16.0,0.0
101806,2016,NYA,AL,greench03,12,8.0,2,12.0,12,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101809,2016,HOU,AL,gregelu01,59,0.0,3,59.0,59,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101810,2016,NYA,AL,gregodi01,153,148.0,153,153.0,0,0,0,0,0,153,0,0,0,0,0.0,2.0,0.0
101825,2016,HOU,AL,gustaja01,14,0.0,0,14.0,14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101838,2016,BOS,AL,hanigry01,35,30.0,35,34.0,0,34,0,0,0,0,0,0,0,0,1.0,1.0,0.0
101847,2016,HOU,AL,harriwi02,66,0.0,7,66.0,66,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101850,2016,LAN,NL,hatchch02,37,0.0,34,37.0,37,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101854,2016,NYA,AL,headlch01,140,135.0,140,140.0,0,0,0,0,140,0,0,0,0,0,1.0,5.0,0.0
101860,2016,NYA,AL,hellebe01,10,0.0,0,10.0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101862,2016,BOS,AL,hembrhe01,38,0.0,1,38.0,38,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101869,2016,LAN,NL,hernaen02,109,47.0,109,75.0,0,0,0,11,5,2,41,22,7,62,1.0,51.0,0.0
101872,2016,BOS,AL,hernama02,40,10.0,40,25.0,0,0,0,14,10,2,0,0,0,0,2.0,12.0,5.0
101874,2016,HOU,AL,hernate01,41,27.0,41,38.0,0,0,0,0,0,0,22,15,6,38,0.0,6.0,2.0
101883,2016,NYA,AL,hicksaa01,123,92.0,123,119.0,0,0,0,0,0,0,25,24,86,119,4.0,6.0,6.0
101885,2016,BOS,AL,hillaa01,47,30.0,47,44.0,0,0,0,4,44,0,0,0,0,0,1.0,13.0,0.0
101887,2016,LAN,NL,hillri01,6,6.0,6,6.0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101892,2016,BOS,AL,holadbr01,14,10.0,14,14.0,0,13,0,0,1,0,0,0,0,0,1.0,0.0,1.0
101894,2016,NYA,AL,holdejo02,8,0.0,0,8.0,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101897,2016,BOS,AL,holtbr01,94,76.0,94,90.0,0,0,0,8,17,7,64,0,5,68,1.0,10.0,2.0
101904,2016,LAN,NL,howeljp01,64,0.0,61,64.0,64,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101906,2016,HOU,AL,hoytja01,22,0.0,1,22.0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101931,2016,LAN,NL,janseke01,72,0.0,68,72.0,72,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101949,2016,LAN,NL,johnsmi04,7,0.0,7,4.0,0,0,0,3,0,0,1,0,0,1,0.0,5.0,1.0
101957,2016,NYA,AL,judgeaa01,27,24.0,27,27.0,0,0,0,0,0,0,0,0,27,27,0.0,1.0,0.0
101964,2016,LAN,NL,kazmisc01,27,26.0,26,26.0,26,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0
101970,2016,BOS,AL,kellyjo05,20,6.0,2,20.0,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101974,2016,HOU,AL,kempto01,59,28.0,59,44.0,0,0,0,5,0,0,37,1,1,39,8.0,19.0,8.0
101975,2016,LAN,NL,kendrho01,146,124.0,146,133.0,0,0,11,32,17,0,94,0,0,94,1.0,19.0,0.0
101979,2016,LAN,NL,kershcl01,23,21.0,21,21.0,21,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0
101980,2016,HOU,AL,keuchda01,26,26.0,1,26.0,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
101984,2016,BOS,AL,kimbrcr01,57,0.0,3,57.0,57,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102000,2016,HOU,AL,kratzer01,15,9.0,14,14.0,1,13,0,0,0,0,0,0,0,0,1.0,1.0,0.0
102009,2016,BOS,AL,lamarry01,6,1.0,5,4.0,1,0,0,0,0,0,2,0,1,3,0.0,1.0,2.0
102018,2016,BOS,AL,layneto01,34,0.0,0,34.0,34,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102019,2016,NYA,AL,layneto01,29,0.0,0,29.0,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102028,2016,BOS,AL,leonsa01,78,68.0,78,74.0,0,74,0,0,0,0,0,0,0,0,2.0,8.0,0.0
102031,2016,LAN,NL,liberad01,58,0.0,55,58.0,58,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102032,2016,BOS,AL,lightpa01,2,0.0,1,2.0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102064,2016,LAN,NL,maedake01,35,32.0,34,32.0,32,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0
102080,2016,HOU,AL,marisja01,118,85.0,118,105.0,0,0,0,0,0,0,26,74,5,105,5.0,4.0,12.0
102085,2016,BOS,AL,marrede01,13,3.0,13,12.0,0,0,0,6,4,4,0,0,0,0,1.0,2.0,1.0
102096,2016,BOS,AL,martimi02,4,1.0,4,3.0,0,0,0,0,0,1,0,0,2,2,1.0,0.0,1.0
102117,2016,NYA,AL,mccanbr01,130,114.0,130,92.0,0,92,3,0,0,0,0,0,0,0,32.0,15.0,0.0
102119,2016,LAN,NL,mccarbr01,10,9.0,10,10.0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102121,2016,HOU,AL,mcculla02,14,14.0,1,14.0,14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102127,2016,HOU,AL,mchugco01,33,33.0,3,33.0,33,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102146,2016,NYA,AL,millean01,44,0.0,4,44.0,44,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102149,2016,BOS,AL,millemi01,1,0.0,1,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
102156,2016,NYA,AL,mitchbr01,5,5.0,0,5.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102159,2016,BOS,AL,moncayo01,8,4.0,8,5.0,0,0,0,0,5,0,0,0,0,0,3.0,1.0,2.0
102170,2016,HOU,AL,moranco01,9,6.0,9,8.0,0,0,0,0,8,0,0,0,0,0,0.0,1.0,0.0
102190,2016,NYA,AL,mulleco01,3,0.0,2,3.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102196,2016,HOU,AL,musgrjo01,11,10.0,1,11.0,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102211,2016,HOU,AL,neshepa01,60,0.0,4,60.0,60,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102224,2016,LAN,NL,norribu01,13,9.0,13,13.0,13,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102227,2016,NYA,AL,novaiv01,21,15.0,3,21.0,21,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102248,2016,NYA,AL,olsonty01,1,0.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102254,2016,BOS,AL,ortizda01,151,140.0,151,1.0,0,0,1,0,0,0,0,0,0,0,140.0,11.0,0.0
102256,2016,BOS,AL,osullse01,5,4.0,0,5.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102261,2016,BOS,AL,owenshe02,5,5.0,0,5.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102271,2016,NYA,AL,parkebl01,16,0.0,0,16.0,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102274,2016,NYA,AL,parmech01,6,2.0,6,6.0,0,0,6,0,0,0,0,0,0,0,0.0,0.0,0.0
102280,2016,HOU,AL,paulida01,3,1.0,0,3.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102283,2016,NYA,AL,pazosja01,7,0.0,0,7.0,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102284,2016,HOU,AL,peacobr01,10,5.0,1,10.0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102288,2016,LAN,NL,pederjo01,137,114.0,137,132.0,0,0,0,0,0,0,0,132,0,132,0.0,17.0,1.0
102289,2016,BOS,AL,pedrodu01,154,151.0,154,152.0,0,0,0,152,0,0,0,0,0,0,0.0,2.0,1.0
102327,2016,NYA,AL,pindebr01,1,0.0,0,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102329,2016,NYA,AL,pinedmi01,32,32.0,1,32.0,32,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102339,2016,BOS,AL,pomerdr01,14,13.0,1,14.0,14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102342,2016,BOS,AL,porceri01,33,33.0,2,33.0,33,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102349,2016,BOS,AL,priceda01,35,35.0,4,35.0,35,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102351,2016,LAN,NL,puigya01,104,81.0,104,95.0,0,0,0,0,0,0,5,4,90,95,0.0,17.0,0.0
102364,2016,BOS,AL,ramirha01,147,144.0,147,133.0,0,0,133,0,0,0,0,0,0,0,11.0,3.0,0.0
102372,2016,BOS,AL,ramirno01,14,0.0,0,14.0,14,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102379,2016,HOU,AL,rasmuco01,107,95.0,107,103.0,0,0,0,0,0,0,87,21,11,103,2.0,9.0,0.0
102381,2016,LAN,NL,ravinjo01,10,0.0,10,10.0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102387,2016,LAN,NL,reddijo01,47,38.0,47,42.0,0,0,0,0,0,0,0,0,42,42,0.0,7.0,0.0
102390,2016,HOU,AL,reedaj01,45,35.0,45,35.0,0,0,35,0,0,0,0,0,0,0,9.0,8.0,0.0
102393,2016,NYA,AL,refsnro01,58,44.0,58,55.0,0,0,25,8,1,0,5,0,23,27,0.0,2.0,4.0
102422,2016,HOU,AL,rodgebr01,5,1.0,0,5.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102426,2016,NYA,AL,rodrial01,65,57.0,65,1.0,0,0,0,0,1,0,0,0,0,0,57.0,8.0,0.0
102427,2016,BOS,AL,rodried05,20,20.0,1,20.0,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102442,2016,NYA,AL,rominau01,62,46.0,62,56.0,0,50,6,0,0,0,0,0,0,0,5.0,5.0,1.0
102454,2016,BOS,AL,rossro01,54,0.0,4,54.0,54,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102462,2016,LAN,NL,ruizca01,14,9.0,14,9.0,0,9,0,0,0,0,0,0,0,0,0.0,5.0,0.0
102469,2016,BOS,AL,rutlejo01,28,12.0,28,23.0,0,0,0,5,17,1,0,0,0,0,0.0,7.0,1.0
102472,2016,LAN,NL,ryuhy01,1,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102475,2016,NYA,AL,sabatcc01,30,30.0,1,30.0,30,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102488,2016,NYA,AL,sanchga02,53,53.0,53,36.0,0,36,0,0,0,0,0,0,0,0,17.0,0.0,0.0
102491,2016,BOS,AL,sandopa01,3,1.0,3,2.0,0,0,0,0,2,0,0,0,0,0,0.0,2.0,0.0
102517,2016,BOS,AL,scottro02,7,0.0,0,7.0,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102520,2016,LAN,NL,seageco01,157,149.0,157,155.0,0,0,0,0,0,155,0,0,0,0,0.0,7.0,0.0
102522,2016,LAN,NL,segedro01,40,17.0,40,26.0,0,0,9,0,6,0,7,0,7,13,0.0,18.0,0.0
102526,2016,NYA,AL,severlu01,22,11.0,0,22.0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102530,2016,BOS,AL,shawtr01,145,127.0,145,140.0,0,0,50,0,105,0,1,0,0,1,2.0,8.0,2.0
102535,2016,NYA,AL,shrevch01,37,0.0,1,37.0,37,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102541,2016,HOU,AL,sippto01,60,0.0,4,60.0,60,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102544,2016,BOS,AL,smithca02,3,0.0,0,3.0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102562,2016,NYA,AL,solando01,9,6.0,9,8.0,0,0,0,6,2,0,0,0,0,0,1.0,0.0,1.0
102572,2016,HOU,AL,springe01,162,161.0,162,148.0,0,0,0,0,0,0,0,1,147,148,12.0,0.0,1.0
102575,2016,HOU,AL,stassma01,9,2.0,9,8.0,0,8,0,0,0,0,0,0,0,0,0.0,2.0,1.0
102577,2016,LAN,NL,stewabr01,7,5.0,7,7.0,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102588,2016,LAN,NL,stripro01,22,14.0,19,22.0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102605,2016,NYA,AL,swarzan01,26,0.0,4,26.0,26,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102606,2016,BOS,AL,swihabl01,19,19.0,19,19.0,0,6,0,0,0,0,13,0,0,13,0.0,0.0,0.0
102610,2016,NYA,AL,tanakma01,31,31.0,1,31.0,31,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102612,2016,LAN,NL,tayloch03,34,11.0,34,21.0,0,0,0,7,10,5,0,0,0,0,0.0,15.0,0.0
102615,2016,BOS,AL,tazawju01,53,0.0,2,53.0,53,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102617,2016,NYA,AL,teixema01,116,104.0,116,110.0,0,0,110,0,0,0,0,0,0,0,4.0,4.0,0.0
102622,2016,LAN,NL,tepesni01,1,1.0,1,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102625,2016,LAN,NL,thomptr01,80,61.0,80,71.0,0,0,0,0,0,0,24,32,28,71,0.0,13.0,0.0
102630,2016,LAN,NL,tolesan01,48,23.0,48,32.0,0,0,0,0,0,0,18,9,8,32,0.0,23.0,1.0
102639,2016,NYA,AL,torrero01,72,47.0,72,63.0,0,0,0,14,34,15,0,0,2,2,4.0,3.0,9.0
102646,2016,LAN,NL,tsaoch01,2,0.0,1,2.0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102647,2016,HOU,AL,tuckepr01,48,34.0,48,21.0,0,0,0,0,0,0,19,0,3,21,22.0,12.0,1.0
102652,2016,LAN,NL,turneju01,151,140.0,151,144.0,0,0,1,0,144,0,0,0,0,0,2.0,10.0,0.0
102654,2016,BOS,AL,ueharko01,50,0.0,3,50.0,50,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102659,2016,LAN,NL,uriasju01,18,15.0,17,18.0,18,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102661,2016,LAN,NL,utleych01,138,118.0,138,134.0,0,0,0,134,1,0,0,0,0,0,0.0,15.0,0.0
102663,2016,HOU,AL,valbulu01,90,84.0,90,86.0,0,0,8,1,81,0,0,0,0,0,0.0,4.0,0.0
102666,2016,LAN,NL,vanslsc01,52,22.0,52,35.0,0,0,7,0,0,0,19,1,10,29,0.0,19.0,2.0
102670,2016,BOS,AL,vazquch01,57,49.0,57,56.0,0,56,0,0,0,0,0,0,0,0,1.0,3.0,0.0
102672,2016,LAN,NL,venabwi01,12,3.0,12,5.0,0,0,0,0,0,0,1,0,4,5,0.0,9.0,0.0
102696,2016,LAN,NL,walteza01,3,1.0,3,2.0,0,0,1,0,0,0,1,0,1,1,0.0,2.0,0.0
102699,2016,NYA,AL,warread01,29,0.0,1,29.0,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102712,2016,HOU,AL,whitety01,86,64.0,85,62.0,1,0,58,2,3,0,0,0,0,0,15.0,14.0,1.0
102720,2016,NYA,AL,willima07,12,7.0,12,11.0,0,0,0,0,0,0,2,2,7,11,1.0,0.0,2.0
102736,2016,LAN,NL,woodal02,15,10.0,14,14.0,14,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
102740,2016,HOU,AL,worthda01,16,8.0,16,13.0,0,0,0,6,5,2,0,0,0,0,2.0,4.0,1.0
102745,2016,BOS,AL,wrighst01,25,24.0,2,24.0,24,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
102746,2016,NYA,AL,yateski01,41,0.0,3,41.0,41,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102752,2016,BOS,AL,youngch04,76,53.0,76,69.0,0,0,0,0,0,0,63,3,3,69,2.0,16.0,1.0
102753,2016,NYA,AL,younger03,6,0.0,6,2.0,0,0,0,0,0,0,0,2,0,2,4.0,0.0,4.0
102757,2016,BOS,AL,zieglbr01,33,0.0,1,33.0,33,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102763,2017,BOS,AL,abadfe01,48,0.0,4,48.0,48,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102796,2017,HOU,AL,altuvjo01,153,151.0,153,149.0,0,0,0,149,0,0,0,0,0,0,3.0,1.0,1.0
102812,2017,NYA,AL,andujmi01,5,1.0,5,3.0,0,0,0,0,3,0,0,0,0,0,2.0,1.0,0.0
102813,2017,HOU,AL,aokino01,71,56.0,70,68.0,1,0,0,0,0,0,56,0,16,67,1.0,5.0,1.0
102829,2017,NYA,AL,austity01,20,11.0,20,14.0,0,0,8,0,0,0,0,0,7,7,6.0,3.0,0.0
102832,2017,LAN,NL,avilalu01,61,0.0,58,61.0,61,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102838,2017,LAN,NL,baezpe01,66,0.0,61,66.0,66,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102844,2017,LAN,NL,barneau01,102,53.0,102,76.0,0,55,0,21,1,0,0,0,0,0,1.0,34.0,0.0
102848,2017,BOS,AL,barnema01,70,0.0,4,70.0,70,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102869,2017,LAN,NL,bellico01,132,127.0,132,128.0,0,0,93,0,0,0,39,4,5,46,1.0,4.0,0.0
102873,2017,HOU,AL,beltrca01,129,118.0,129,14.0,0,0,0,0,0,0,13,0,1,14,107.0,11.0,0.0
102874,2017,BOS,AL,beninan01,151,143.0,151,149.0,0,0,0,0,0,0,123,30,0,149,0.0,8.0,0.0
102880,2017,NYA,AL,betande01,66,0.0,6,66.0,66,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102883,2017,BOS,AL,bettsmo01,153,153.0,153,153.0,0,0,0,0,0,0,0,0,153,153,0.0,0.0,0.0
102886,2017,NYA,AL,birdgr01,48,41.0,48,46.0,0,0,46,0,0,0,0,0,0,0,2.0,6.0,0.0
102898,2017,BOS,AL,bogaexa01,148,143.0,148,146.0,0,0,0,0,0,146,0,0,0,0,0.0,0.0,2.0
102911,2017,BOS,AL,boyerbl01,32,0.0,0,32.0,32,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102916,2017,BOS,AL,bradlja02,133,131.0,133,132.0,0,0,0,0,0,0,0,132,0,132,0.0,2.0,0.0
102923,2017,HOU,AL,bregmal01,155,148.0,155,153.0,0,0,0,4,132,30,0,0,0,0,2.0,2.0,2.0
102941,2017,LAN,NL,buehlwa01,8,0.0,8,8.0,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102976,2017,NYA,AL,cartech02,62,49.0,62,56.0,0,0,56,0,0,0,0,0,2,2,1.0,6.0,0.0
102980,2017,LAN,NL,castifa01,2,0.0,2,2.0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102986,2017,NYA,AL,castrst01,112,110.0,112,109.0,0,0,0,109,0,0,0,0,0,0,2.0,2.0,0.0
102991,2017,HOU,AL,centeju01,22,15.0,22,22.0,0,22,0,0,0,0,0,0,0,0,0.0,1.0,0.0
102995,2017,NYA,AL,cessalu01,10,5.0,0,10.0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
102999,2017,NYA,AL,chapmar01,52,0.0,7,52.0,52,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
103006,2017,NYA,AL,choiji01,6,4.0,6,6.0,0,0,6,0,0,0,0,0,0,0,0.0,2.0,0.0
103009,2017,LAN,NL,cingrto01,22,0.0,21,22.0,22,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
103016,2017,HOU,AL,clippty01,16,0.0,1,16.0,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
103017,2017,NYA,AL,clippty01,40,0.0,5,40.0,40,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
103035,2017,NYA,AL,coopega03,13,13.0,13,13.0,0,0,13,0,0,0,0,0,0,0,0.0,0.0,0.0
103039,2017,HOU,AL,correca01,109,109.0,109,108.0,0,0,0,0,0,108,0,0,0,0,1.0,0.0,0.0
