,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
102714,tsaoch01,2016,1,LAN,NL,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102715,tuckepr01,2016,1,HOU,AL,48,134,11,22,8,1,4,8.0,0.0,0.0,8,40.0,0.0,2.0,0.0,0.0,2.0
102720,turneju01,2016,1,LAN,NL,151,556,79,153,34,3,27,90.0,4.0,1.0,48,107.0,1.0,10.0,0.0,8.0,16.0
102722,ueharko01,2016,1,BOS,AL,50,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102727,uriasju01,2016,1,LAN,NL,18,22,0,3,0,0,0,2.0,0.0,0.0,0,9.0,0.0,0.0,4.0,0.0,1.0
102729,utleych01,2016,1,LAN,NL,138,512,79,129,26,3,14,52.0,2.0,2.0,40,115.0,1.0,11.0,1.0,1.0,0.0
102731,valbulu01,2016,1,HOU,AL,90,292,38,76,17,1,13,40.0,1.0,1.0,44,81.0,2.0,1.0,3.0,2.0,5.0
102734,vanslsc01,2016,1,LAN,NL,52,102,10,23,6,0,1,7.0,1.0,2.0,5,24.0,1.0,5.0,0.0,1.0,3.0
102738,vazquch01,2016,1,BOS,AL,57,172,21,39,9,1,1,12.0,0.0,0.0,10,39.0,1.0,2.0,0.0,0.0,3.0
102740,venabwi01,2016,1,LAN,NL,12,18,2,1,1,0,0,0.0,0.0,0.0,0,5.0,0.0,1.0,0.0,0.0,0.0
102764,walteza01,2016,1,LAN,NL,3,5,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
102767,warread01,2016,2,NYA,AL,29,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102780,whitety01,2016,1,HOU,AL,86,249,24,54,16,0,8,28.0,1.0,0.0,23,65.0,1.0,2.0,0.0,2.0,6.0
102788,willima07,2016,1,NYA,AL,12,27,4,8,1,0,0,2.0,0.0,0.0,1,12.0,0.0,0.0,1.0,0.0,0.0
102804,woodal02,2016,1,LAN,NL,15,16,2,4,0,0,0,2.0,0.0,0.0,1,9.0,0.0,0.0,2.0,0.0,0.0
102808,worthda01,2016,1,HOU,AL,16,39,4,7,2,0,0,1.0,0.0,0.0,1,6.0,0.0,0.0,0.0,0.0,1.0
102813,wrighst01,2016,1,BOS,AL,25,4,0,0,0,0,0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0
102814,yateski01,2016,1,NYA,AL,41,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102820,youngch04,2016,1,BOS,AL,76,203,29,56,18,0,9,24.0,4.0,2.0,21,50.0,0.0,3.0,0.0,0.0,4.0
102821,younger03,2016,1,NYA,AL,6,1,2,0,0,0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102825,zieglbr01,2016,2,BOS,AL,33,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102831,abadfe01,2017,1,BOS,AL,48,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102864,altuvjo01,2017,1,HOU,AL,153,590,112,204,39,4,24,81.0,32.0,6.0,58,84.0,3.0,9.0,1.0,4.0,19.0
