,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
44362,feldmsc01,2016,1,HOU,AL,5,3,26,5,0,0,0,186,64,20,8,13,42,0.264,2.9,3.0,0,3.0,0,265.0,9,27,4.0,3.0,4.0
44364,felizmi01,2016,1,HOU,AL,8,1,47,0,0,0,0,195,55,32,10,22,95,0.224,4.43,0.0,6,0.0,0,270.0,17,33,0.0,2.0,1.0
44367,fieldjo03,2016,1,HOU,AL,0,0,15,0,0,0,0,47,23,12,2,3,20,0.343,6.89,0.0,0,0.0,0,71.0,7,14,0.0,1.0,2.0
44368,fieldjo03,2016,2,LAN,NL,1,0,22,0,0,0,0,58,20,6,2,8,22,0.256,2.79,2.0,0,1.0,0,87.0,5,8,0.0,0.0,1.0
44370,fienca01,2016,2,LAN,NL,0,1,25,0,0,0,0,77,24,12,8,7,23,0.245,4.21,3.0,0,0.0,0,106.0,5,12,1.0,0.0,0.0
44371,fiersmi01,2016,1,HOU,AL,11,8,31,30,0,0,0,506,187,84,26,42,134,0.28,4.48,0.0,17,7.0,0,724.0,0,89,3.0,5.0,6.0
44373,fistedo01,2016,1,HOU,AL,12,13,32,32,0,0,0,541,195,93,24,62,115,0.276,4.64,1.0,10,7.0,0,779.0,0,98,0.0,3.0,20.0
44382,friasca01,2016,1,LAN,NL,0,0,1,0,0,0,0,12,2,0,0,1,3,0.143,0.0,0.0,0,0.0,0,15.0,1,0,0.0,0.0,0.0
44392,garciyi01,2016,1,LAN,NL,0,0,9,0,0,0,0,25,9,3,0,1,4,0.31,3.24,0.0,0,1.0,0,35.0,1,3,2.0,2.0,1.0
44402,gileske01,2016,1,HOU,AL,2,5,69,0,0,0,15,197,60,30,8,25,102,0.234,4.11,1.0,14,2.0,0,286.0,24,32,2.0,1.0,0.0
44419,goodyni01,2016,1,NYA,AL,0,0,27,0,0,0,0,87,30,15,7,12,34,0.265,4.66,1.0,0,1.0,0,128.0,10,15,1.0,1.0,1.0
44427,greench03,2016,1,NYA,AL,2,4,12,8,0,0,1,137,49,24,12,15,52,0.272,4.73,0.0,1,1.0,0,198.0,4,26,1.0,1.0,3.0
44429,gregelu01,2016,1,HOU,AL,4,3,59,0,0,0,15,173,38,21,5,18,67,0.183,3.28,2.0,6,2.0,0,230.0,25,23,0.0,2.0,3.0
44442,gustaja01,2016,1,HOU,AL,1,0,14,0,0,0,0,46,13,6,2,4,16,0.232,3.52,0.0,2,0.0,0,60.0,4,6,0.0,0.0,1.0
44453,harriwi02,2016,1,HOU,AL,1,2,66,0,0,0,12,192,52,16,3,15,69,0.22,2.25,1.0,4,1.0,0,255.0,19,17,1.0,2.0,6.0
44456,hatchch02,2016,1,LAN,NL,5,4,37,0,0,0,0,122,40,25,8,21,43,0.253,5.53,4.0,4,1.0,0,181.0,10,26,1.0,0.0,3.0
44460,hellebe01,2016,1,NYA,AL,1,0,10,0,0,0,0,21,11,5,3,4,6,0.324,6.43,1.0,0,2.0,0,40.0,4,5,0.0,0.0,0.0
44462,hembrhe01,2016,1,BOS,AL,4,1,38,0,0,0,0,153,51,15,6,17,47,0.249,2.65,1.0,0,0.0,0,223.0,8,23,0.0,1.0,2.0
