,yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
13569,2017,ALDS2,beltrca01,HOU,AL,3,5,0,2,1,0,0,1,0,0.0,1,1,0,0.0,0.0,0.0,0.0
13570,2017,WS,beltrca01,HOU,AL,3,3,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13571,2017,ALDS2,beninan01,BOS,AL,4,16,2,4,0,0,1,2,0,0.0,1,3,0,0.0,0.0,0.0,1.0
13573,2017,ALCS,betande01,NYA,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13574,2017,ALDS1,betande01,NYA,AL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13575,2017,ALDS2,bettsmo01,BOS,AL,4,16,2,5,2,0,0,0,1,0.0,1,4,0,0.0,0.0,0.0,0.0
13576,2017,ALCS,birdgr01,NYA,AL,7,20,2,5,2,0,1,2,0,0.0,8,8,1,0.0,0.0,0.0,0.0
13577,2017,ALDS1,birdgr01,NYA,AL,5,18,3,4,0,0,2,3,0,0.0,3,7,0,1.0,0.0,0.0,0.0
13578,2017,ALWC,birdgr01,NYA,AL,1,3,0,1,0,0,0,1,0,0.0,1,2,0,0.0,0.0,0.0,0.0
13581,2017,ALDS2,bogaexa01,BOS,AL,4,17,2,1,0,0,1,1,0,0.0,1,4,0,0.0,0.0,0.0,0.0
13584,2017,ALDS2,bradlja02,BOS,AL,4,15,1,3,0,0,1,5,0,0.0,0,6,0,0.0,0.0,0.0,1.0
13586,2017,ALCS,bregmal01,HOU,AL,7,24,2,4,1,0,0,3,0,0.0,3,3,0,0.0,0.0,0.0,1.0
13587,2017,ALDS2,bregmal01,HOU,AL,4,18,3,4,1,0,2,2,0,0.0,0,3,0,0.0,0.0,0.0,0.0
13588,2017,WS,bregmal01,HOU,AL,7,30,6,7,1,0,2,5,1,0.0,2,4,0,0.0,0.0,1.0,1.0
13596,2017,ALCS,castrst01,NYA,AL,7,24,2,5,1,0,0,0,0,0.0,1,8,0,1.0,0.0,0.0,1.0
13597,2017,ALDS1,castrst01,NYA,AL,5,22,3,6,2,0,0,1,0,0.0,1,5,0,0.0,0.0,0.0,0.0
