,playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
5385,musgrjo01,2017,ALCS,HOU,AL,0,0,1,0,0,0,0,2,2,2,0,0,0,0.5,27.0,0.0,0.0,0.0,0.0,4.0,0,2,0.0,0.0,0.0
5386,musgrjo01,2017,ALDS2,HOU,AL,0,0,2,0,0,0,0,6,1,1,1,0,1,0.143,4.5,0.0,0.0,0.0,0.0,7.0,1,1,0.0,0.0,0.0
5387,musgrjo01,2017,WS,HOU,AL,1,0,4,0,0,0,0,12,3,3,2,1,2,0.214,6.75,1.0,0.0,0.0,0.0,16.0,2,3,0.0,1.0,0.0
5391,peacobr01,2017,ALCS,HOU,AL,0,0,2,0,0,0,0,7,3,2,2,0,4,0.3,7.71,0.0,0.0,0.0,0.0,10.0,0,2,0.0,0.0,0.0
5392,peacobr01,2017,ALDS2,HOU,AL,0,0,1,1,0,0,0,8,6,3,0,1,4,0.429,10.12,0.0,0.0,0.0,0.0,15.0,0,3,0.0,0.0,0.0
5393,peacobr01,2017,WS,HOU,AL,0,0,4,0,0,0,1,22,4,2,0,3,8,0.154,2.45,0.0,1.0,1.0,0.0,30.0,1,2,0.0,0.0,0.0
5395,pomerdr01,2017,ALDS2,BOS,AL,0,1,1,1,0,0,0,6,5,4,2,1,1,0.455,18.0,0.0,0.0,0.0,0.0,12.0,0,4,0.0,0.0,0.0
5396,porceri01,2017,ALDS2,BOS,AL,0,0,2,1,0,0,0,12,5,2,0,3,4,0.312,4.5,0.0,1.0,1.0,0.0,20.0,1,2,0.0,0.0,1.0
5397,priceda01,2017,ALDS2,BOS,AL,0,0,2,0,0,0,0,20,5,0,0,2,6,0.2,0.0,1.0,0.0,0.0,0.0,27.0,0,0,0.0,0.0,0.0
5402,reedad01,2017,ALDS2,BOS,AL,0,0,3,0,0,0,0,7,3,2,0,1,0,0.3,7.71,1.0,0.0,0.0,0.0,11.0,1,2,0.0,0.0,0.0
5403,roberda08,2017,ALCS,NYA,AL,0,0,4,0,0,0,0,15,7,5,1,1,6,0.333,9.0,0.0,0.0,0.0,0.0,22.0,1,5,0.0,0.0,0.0
5404,roberda08,2017,ALDS1,NYA,AL,1,0,3,0,0,0,0,14,1,1,1,2,5,0.071,1.93,0.0,0.0,0.0,0.0,16.0,0,1,0.0,0.0,1.0
